"","gameId","playId","rusher_id","blocker_id","mean_strain","sd_strain","max_strain","max_zscore_strain","time_from_snap_to_beat","n_blockers","officialPosition","position_rusher","response"
"1",2021090900,97,42403,42377,0.282079251647818,0.475010424416921,0.765056594029143,1.01677209078976,0,1,"T","DE","hurry"
"2",2021090900,97,44955,40151,-0.271685278544321,0.212381315405145,0.010627547273014,1.32927336512059,0,1,"C","DE","won"
"3",2021090900,97,53441,46163,0.316404534897961,0.358121831228208,1.20557427456712,2.48286940960756,2.3,1,"G","OLB","hurry"
"4",2021090900,137,35441,46119,0.175794187703608,0.0697812474224888,0.28822495026831,1.61118877517326,2,1,"G","DE","won"
"5",2021090900,137,35454,37082,0.109728190952708,0.138565230529988,0.301343174917436,1.38285039639334,0,1,"T","DE","won"
"6",2021090900,137,40074,42654,0.116890707798679,0.0978078484392384,0.262890023713488,1.49271575077646,0,1,"T","DE","won"
"7",2021090900,137,46081,47873,0.461171183014326,0.267379464608478,0.81173195703741,1.31109834682483,2.3,1,"G","NT","won"
"8",2021090900,187,35441,42654,0.105321275840664,0.0877974162349013,0.253238088360894,1.68475131573895,0,1,"T","DE","won"
"9",2021090900,187,35454,37082,0.314012063533045,0.0924163898643363,0.512287620801935,2.145458804006,0,1,"T","DE","won"
"10",2021090900,187,46081,46119,0.190767445342142,0.10051961983911,0.377353034890238,1.85621065665331,0,1,"G","NT","won"
"11",2021090900,282,34777,37082,-0.390783409454119,0.258690089382608,0.00405094135082681,1.52628325169805,0,1,"T","NT","won"
"12",2021090900,282,40074,42654,-0.178492774934221,0.421555903078716,0.610087643358078,1.87064257085032,2.4,1,"T","DE","won"
"13",2021090900,282,41915,46206,0.0645153352673297,0.257940855343282,0.474346979319975,1.58885897895941,1.2,1,"TE","OLB","won"
"14",2021090900,282,42560,52554,-0.217212730242361,0.34161213878628,0.217342974813175,1.27207337127854,0,1,"C","DT","won"
"15",2021090900,282,46132,45532,0.369327182311008,0.262557650487187,0.732586972135158,1.38354296342196,2.6,1,"TE","CB","won"
"16",2021090900,349,35441,42654,0.174232662559869,0.143094659309124,0.325777528636681,1.05905326452074,0,1,"T","DE","won"
"17",2021090900,349,35454,46119,-0.0497879625148471,0.0554111518154099,0.0807160970474462,2.35519485314146,0,1,"G","DE","won"
"18",2021090900,349,38588,43293,0.766586574248671,0.153316673035419,1.0004685935805,1.52548326741862,1.7,1,"RB","ILB","hit"
"19",2021090900,349,41915,46206,-0.00415826802387512,0.0918572364435487,0.117019286286346,1.31919442606671,0.9,1,"TE","OLB","won"
"20",2021090900,349,46081,37082,0.937076304293612,0.677377707443602,2.54992643782307,2.38102039055329,2.5,1,"T","NT","won"
"21",2021090900,410,41263,52421,0.568770264551186,0.104465184401958,0.692011555881856,1.17973554573423,0,1,"T","DE","won"
"22",2021090900,410,42403,42404,0.530732260272921,0.137017442268531,0.715093045552062,1.34552785562751,0,1,"G","DE","won"
"23",2021090900,410,44955,46163,0.397315707019492,0.123232243206661,0.552029154662302,1.25546239861393,0,1,"G","DE","won"
"24",2021090900,410,53441,42377,0.659805296572508,0.195248688402206,0.871772440685081,1.08562646872141,0,1,"T","OLB","won"
"25",2021090900,410,53504,40151,-0.0336954920961842,0.0498158542375589,0.0433553886886145,1.54671403239144,0,1,"C","DT","won"
"26",2021090900,434,41263,52421,0.472091430059865,0.0478544660370785,0.52784670375987,1.16510073807542,0,1,"T","DE","won"
"27",2021090900,434,42403,42377,0.52829065178306,0.0747441667651546,0.609098483569886,1.08112559526851,0,1,"T","DE","won"
"28",2021090900,434,44955,46163,-0.0210621488872354,0.0204658762498061,0.00714874321901445,1.3784355852595,0,1,"G","DE","won"
"29",2021090900,434,53441,44816,0.428735363225488,0.0906462404141316,0.527281954298759,1.08715585580875,0,1,"RB","OLB","won"
"30",2021090900,434,53504,42404,0.278233810895181,0.151055355829433,0.458668018948783,1.19449063598475,0,1,"G","DT","won"
